domain,registration_date,last_updated,expiration_date,registrar_name,registrar_email,registrar_url
redd.com.au,,2025-01-19 01:10:01+00:00,,Web Address Registration Pty Ltd,,
tbshs.org,2008-04-18 15:12:47+00:00,2024-06-18 00:34:47+00:00,2027-04-18 15:12:47+00:00,Mesh Digital Limited,abuse.contact@hosteuropegroup.com,https://hosteuropegroup.com
silea.se,2008-11-25 00:00:00+00:00,2024-11-23 00:00:00+00:00,2025-11-25 00:00:00+00:00,One.com,,
wroclawskaedukacja.pl,2010-06-16 12:29:11+00:00,2024-06-07 11:35:08+00:00,2025-06-16 12:29:11+00:00,home.pl S.A.,,
eqt.se,1994-10-17 00:00:00+00:00,2024-12-22 00:00:00+00:00,2025-12-31 00:00:00+00:00,CSC Corp Domains,,
span.ch,,,,,,
ephec.be,1998-01-19 00:00:00+00:00,,,,,
bonwell.org,2003-01-28 22:52:29+00:00,2024-01-13 09:31:35+00:00,2026-01-28 22:52:29+00:00,FastDomain Inc.,legal@fastdomain.com,https://fastdomain.com
educacao.sjvriopreto.rj.gov.br,2017-11-25 00:00:00+00:00,2024-03-21 00:00:00+00:00,,,,
nautreni.lv,,2025-03-12 12:12:29.976626+00:00,,,,
vorukinnisvara.ee,,,2025-12-08 00:00:00+00:00,Telia Eesti AS,,
fflaw.com.br,2014-03-21 00:00:00+00:00,2024-03-22 00:00:00+00:00,2027-03-21 00:00:00+00:00,,,
oneness.nyc,2014-10-14 22:54:19+00:00,2024-11-15 16:10:50+00:00,2025-10-13 23:59:59+00:00,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com
talkbpo.net,2016-06-01 23:11:49+00:00,2024-11-14 02:16:24+00:00,2025-06-01 23:11:49+00:00,"HOSTINGER operations, UAB",abuse-tracker@hostinger.com,https://hostinger.com
etu.ec-lyon.fr,1994-12-31 23:00:00+00:00,2025-01-31 23:01:32.459285+00:00,2025-12-31 23:00:00+00:00,GIP RENATER,domaine@renater.fr,https://renater.fr
notsharingmy.info,2010-11-25 22:05:19.400000+00:00,2024-10-31 08:00:34+00:00,2025-11-25 22:05:19+00:00,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com
asist.si,1997-08-18 00:00:00+00:00,,2025-06-06 00:00:00+00:00,INFOBIA,,
botmail.co.uk,2014-02-13 00:00:00+00:00,2025-01-14 00:00:00+00:00,2026-02-13 00:00:00+00:00,"Cloudflare, Inc. [Tag = CLOUDFLARE]",,
cqi.ch,,,,,,
advai.co.uk,2020-03-28 00:00:00+00:00,2024-07-11 00:00:00+00:00,2026-03-28 00:00:00+00:00,123-Reg Limited t/a 123-reg [Tag = 123-REG],,
apibox.co.in,2022-12-12 09:07:38+00:00,2025-01-29 07:10:05+00:00,2027-12-12 09:07:38+00:00,"GoDaddy.com, LLC",,
inea.eu,,,,PDR Ltd.,,
truststamp.net,2015-10-18 15:18:55+00:00,2024-08-15 08:54:03+00:00,2026-10-18 15:18:55+00:00,https://www.101domain.com/,abuse@101domain.com,https://101domain.com
egb-getriebe.de,,2016-05-30 20:37:37+02:00,,,,
luminaire.ie,2008-11-25 00:00:00+00:00,,2025-11-25 12:12:14+00:00,Irish Domains,,
viio.me,2022-02-15 16:32:13+00:00,2025-02-19 09:03:26+00:00,2026-02-15 16:32:13+00:00,Tucows Domains Inc.,,
multi-craft.net,1999-10-29 23:07:18+00:00,2022-09-22 03:27:03+00:00,2026-10-29 23:07:18+00:00,Tucows Domains Inc.,domainabuse@tucows.com,https://tucows.com
bulut-elektrotechnik.de,,2021-12-29 05:30:28+01:00,,,,
tideservices.co.uk,2018-01-19 00:00:00+00:00,2018-01-22 00:00:00+00:00,2028-01-19 00:00:00+00:00,Easyspace Ltd [Tag = EASYSPACE],,
unijapan.org,2002-07-01 06:37:01+00:00,2024-06-15 00:32:03+00:00,2025-07-01 06:42:26+00:00,"GMO Internet Group, Inc. d/b/a Onamae.com",abuse@gmo.jp,https://gmo.jp
mainlinemenswear.co.uk,2003-04-01 00:00:00+00:00,2022-03-11 00:00:00+00:00,2028-04-01 00:00:00+00:00,eNom LLC [Tag = ENOM],,
nelnet.net,1998-03-18 05:00:00+00:00,2024-10-01 08:27:29+00:00,2032-03-15 17:02:43+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
warners.co.uk,1996-08-01 00:00:00+00:00,2025-03-06 00:00:00+00:00,2035-03-01 00:00:00+00:00,Heart Internet Limited t/a Heart Internet [Tag = HEARTINTERNET],,
inclusense.co,2023-07-24 15:01:00+00:00,2024-08-06 19:25:34+00:00,2026-07-24 15:01:00+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
lfcg.net,2014-02-25 18:16:23+00:00,2024-02-26 12:46:28+00:00,2029-02-25 18:16:23+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
icgonars.edu.it,2018-11-22 08:43:53+00:00,2024-12-08 00:50:04+00:00,2025-11-22 00:00:00+00:00,Neen S.p.a.,,
februce.com.br,2010-08-17 00:00:00+00:00,2024-07-24 00:00:00+00:00,2034-08-17 00:00:00+00:00,,,
fotsch-gmbh.de,,2024-05-21 10:32:20+02:00,,,,
wfhcenter.org,2001-05-28 22:14:07+00:00,2021-03-29 06:35:57+00:00,2026-05-28 22:14:07+00:00,"Network Solutions, LLC",domain.operations@web.com,https://web.com
maldivehosting.net,2004-10-27 12:19:30+00:00,2025-03-09 05:17:13+00:00,2025-10-27 12:19:30+00:00,Onlinenic Inc,abuse@onlinenic.com,https://onlinenic.com
lincoln.ox.ac.uk,1996-08-01 00:00:00+00:00,,,No registrar listed.  This domain is directly registered with Nominet.,,
dbhaacht.be,2005-03-08 00:00:00+00:00,,,,,
myautos.fr,2009-03-23 11:38:56+00:00,2021-03-20 14:26:46+00:00,2025-10-03 13:32:01+00:00,SCALEWAY,frnic-admin@free.org,https://free.org
grupomutual.fi.cr,2006-10-17 18:00:00+00:00,2025-03-07 04:56:49+00:00,2030-10-19 00:00:00+00:00,NIC-REG1,,
molloybros.com.au,,2024-04-30 01:15:27+00:00,,Melbourne IT,,
ssf-ing.de,,2023-04-23 22:02:52+02:00,,,,
furness-bs.co.uk,1999-06-23 00:00:00+00:00,2025-03-08 00:00:00+00:00,2026-06-23 00:00:00+00:00,Zen Internet Limited [Tag = ZENSYS],,
purplepepperart.co.za,2021-03-03 14:17:26+00:00,2025-02-11 11:55:37+00:00,2026-03-03 14:17:26+00:00,1API GmbH,abuse@1api.net,https://1api.net
klaam.fr,2023-05-21 14:43:38.825799+00:00,2024-01-27 11:27:51.818379+00:00,2025-05-21 14:43:38.812884+00:00,OVH,support@ovh.net,https://ovh.net
sleekbrew.store,2025-01-31 14:47:34+00:00,2025-03-01 10:38:42+00:00,2026-01-31 23:59:59+00:00,Dotserve Inc,abuse@dotserve.website,https://dotserve.website
securavis.co.uk,2024-02-20 00:00:00+00:00,2025-02-23 00:00:00+00:00,2026-02-20 00:00:00+00:00,"GoDaddy.com, LLC. [Tag = GODADDY]",,
bimtech.ac.in,2003-09-06 19:35:23+00:00,2020-10-27 07:50:00+00:00,2027-09-06 19:35:23+00:00,ERNET India,,
amachree.se,2023-10-20 00:00:00+00:00,2024-10-10 00:00:00+00:00,2025-10-20 00:00:00+00:00,Svenska Domäner,,
completelyretail.co.uk,2008-06-16 00:00:00+00:00,2024-06-16 00:00:00+00:00,2028-06-16 00:00:00+00:00,Team Blue Internet Services UK Limited [Tag = NAMESCO],,
nuvu.cc,2020-07-06 23:50:33+00:00,2024-06-02 01:21:57+00:00,2025-07-06 23:50:33+00:00,Gandi SAS,abuse@support.gandi.net,https://support.gandi.net
muasda.org,2004-03-26 22:38:27+00:00,2023-03-29 03:47:14+00:00,2028-03-26 22:38:27+00:00,"Network Solutions, LLC",domain.operations@web.com,https://web.com
st.apd.edu.vn,,,,,,
balkansut.com.tr,2004-05-17 00:00:00+00:00,,2029-05-16 00:00:00+00:00,,,
randa.org,1997-02-21 05:00:00+00:00,2025-02-23 06:22:41+00:00,2026-02-22 05:00:00+00:00,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com
dreamprovidercare.net,2009-10-21 20:25:18+00:00,2024-10-22 07:37:54+00:00,2025-10-21 20:25:18+00:00,IONOS SE,abuse@ionos.com,https://ionos.com
omnifamilyhealth.org,2012-11-16 00:38:41+00:00,2024-11-17 23:21:49+00:00,2026-11-16 00:38:41+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
rainbowpeds.net,2005-01-12 11:50:09+00:00,2025-03-10 20:46:08+00:00,2026-03-15 11:59:59+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
sieger.eu,,,,IONOS SE,,
calmwaters.org,2002-05-23 13:53:13+00:00,2024-08-30 17:02:58+00:00,2027-05-23 13:53:13+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
designbyamanda.ca,2018-11-12 18:41:40+00:00,2024-11-13 13:10:07+00:00,2026-11-12 18:41:40+00:00,"Go Daddy Domains Canada, Inc",abuse@godaddy.com,https://godaddy.com
koltze-rose.de,,2021-07-02 15:29:45+02:00,,,,
ronzon.es,,,,,,
optonlune.net,2019-08-28 18:52:26+00:00,2024-07-05 20:06:59+00:00,2025-08-28 18:52:26+00:00,Dynadot Inc,abuse@dynadot.com,https://dynadot.com
ampcc.co.uk,2024-10-17 00:00:00+00:00,2024-10-17 00:00:00+00:00,2025-10-17 00:00:00+00:00,"GoDaddy.com, LLC. [Tag = GODADDY]",,
e2t.link,2016-04-11 11:30:59.903000+00:00,2024-03-23 03:40:29.623000+00:00,2025-04-11 11:30:59.903000+00:00,"Name.com, Inc.",abuse@name.com,https://name.com
kingstonisd.org,2014-08-22 14:09:23+00:00,2024-10-06 14:10:01+00:00,2029-08-22 14:09:23+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
leerling.pvanhorne.nl,2000-05-24 00:00:00+00:00,2025-02-10 00:00:00+00:00,,team.blue nl B.V.,,
dgm-architectes.fr,1999-12-09 23:00:00+00:00,2024-12-02 12:50:22.298864+00:00,2025-12-09 23:00:00+00:00,Infomaniak Network SA,abuse@infomaniak.com,https://infomaniak.com
afcb.co.uk,1997-09-29 00:00:00+00:00,2019-07-18 00:00:00+00:00,2028-09-29 00:00:00+00:00,Team Blue Internet Services UK Limited [Tag = NAMESCO],,
spintek.com.tr,2002-09-03 00:00:00+00:00,,2025-09-02 00:00:00+00:00,,,
iaea.org,1996-09-20 04:00:00+00:00,2019-09-19 12:53:06+00:00,2029-09-19 04:00:00+00:00,"Network Solutions, LLC",domain.operations@web.com,https://web.com
converge.io,2015-01-22 13:53:36+00:00,2025-03-08 13:54:35+00:00,2026-01-22 13:53:36+00:00,1API GmbH,,
annapolis.gov,1997-10-02 01:29:20+00:00,2024-03-15 03:52:06+00:00,2025-09-30 04:00:00+00:00,get.gov,,
mnldistribuidora.com.br,2018-06-13 00:00:00+00:00,2024-01-18 00:00:00+00:00,2025-06-13 00:00:00+00:00,,,
stu.janesville.k12.wi.us,,,,,,
indianaheartland.org,2007-03-07 19:34:54+00:00,2025-02-27 16:55:53+00:00,2026-03-07 19:34:54+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
ventr.it,2024-08-14 00:27:24+00:00,2024-08-14 00:40:16+00:00,2025-08-14 00:00:00+00:00,1 Api GmbH,,
cdsaok.org,2006-05-11 19:47:56+00:00,2024-06-25 19:48:12+00:00,2025-05-11 19:47:56+00:00,Launchpad.com Inc.,abuse@hostgator.com,https://hostgator.com
middlesexhealth.org,1999-11-10 18:58:48+00:00,2025-01-16 12:49:20+00:00,2026-11-10 18:58:48+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
honga.de,,2020-10-05 19:05:05+02:00,,,,
elitefootcare.ca,2017-10-09 18:55:46+00:00,2024-08-29 16:26:05+00:00,2030-10-09 18:55:46+00:00,"Go Daddy Domains Canada, Inc",abuse@godaddy.com,https://godaddy.com
dng.ai,2021-09-15 20:01:50+00:00,,,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com
lu.ee,,,2025-08-22 00:00:00+00:00,Zone Media OÜ,,
scarborotoyota.com.au,,2023-05-24 01:14:18+00:00,,Domain Directors Pty Ltd trading as Instra,,
diningsix.dk,2017-01-10 00:00:00+00:00,,2026-01-31 00:00:00+00:00,,,
mylab.fi,1991-01-01 00:00:00+00:00,2024-10-16 00:00:00+00:00,2025-08-31 00:00:00+00:00,Ascio Technologies,,
contapp.com.ec,,,,,,
cpsn.cl,,,,NIC Chile,,
segredo.us,2003-02-16 21:16:19+00:00,2025-02-06 02:11:34+00:00,2026-02-15 23:59:59+00:00,Squarespace Domains II LLC,abuse-complaints@squarespace.com,https://squarespace.com
spiritranch.us,2006-12-27 18:33:23+00:00,2024-12-16 08:46:12+00:00,2025-12-26 23:59:59+00:00,Fast Domain Inc.,tos@fastdomain.com,https://fastdomain.com
raharja.info,2012-10-30 16:11:24+00:00,2022-11-03 12:52:30+00:00,2027-10-30 16:11:24+00:00,Tucows Domains Inc.,domainabuse@tucows.com,https://tucows.com
iolfree.ie,2000-02-22 00:00:00+00:00,,2025-03-31 15:55:48+00:00,BT Ireland,,
sheffieldfutures.org.uk,2001-10-04 00:00:00+00:00,2024-10-27 00:00:00+00:00,2026-10-04 00:00:00+00:00,Zen Internet Limited [Tag = ZENSYS],,
gardenlaunion.cl,,,,NIC Chile,,
alfesundsohn.de,,2021-07-12 16:05:30+02:00,,,,
rises.io,2016-09-15 11:52:11+00:00,2024-09-19 18:53:34+00:00,2025-09-15 11:52:11+00:00,"GoDaddy.com, LLC",,
bridgecoaching.ca,2018-07-20 00:40:20+00:00,2024-09-03 00:45:12+00:00,2025-07-20 00:40:20+00:00,"Go Daddy Domains Canada, Inc",abuse@godaddy.com,https://godaddy.com
solaronsa.co.za,2020-02-26 11:55:11+00:00,2025-01-28 08:44:56+00:00,2026-02-26 11:55:11+00:00,DIAMATRIX C.C.,abuse@domains.co.za,https://domains.co.za
eddycaravanes.fr,2008-06-04 06:40:01+00:00,2024-10-31 23:08:01.302812+00:00,2025-09-23 09:26:27+00:00,OVH,support@ovh.net,https://ovh.net
makeitservices.org,2022-06-23 12:24:54+00:00,2024-06-21 17:10:03+00:00,2026-06-23 12:24:54+00:00,Hosting Concepts B.V. d/b/a Registrar.eu,abuse@registrar.eu,https://registrar.eu
osakidetza.eus,2023-07-03 00:00:00+00:00,2025-01-09 18:02:48.500000+00:00,2025-11-25 17:26:28.135000+00:00,Nominalia Internet S.L.,abuse@nominalia.com,https://nominalia.com
burpeeshop.se,2012-10-02 00:00:00+00:00,2024-09-17 00:00:00+00:00,2025-10-02 00:00:00+00:00,Loopia AB,,
csas.cz,1997-10-21 02:00:00+00:00,2025-02-12 15:52:59+00:00,2027-10-29 00:00:00+00:00,REG-CZNIC,,
heroicdeeds.org,2021-05-14 19:00:13+00:00,2024-05-04 22:15:38+00:00,2025-05-14 19:00:13+00:00,Tucows Domains Inc.,,
studiosamuel.org,2012-04-25 14:43:36+00:00,2024-09-06 13:51:01+00:00,2025-04-25 14:43:36+00:00,"Register.com, Inc.",domain.operations@web.com,https://web.com
arn.ae,,,,,,
spek.fi,1991-01-01 00:00:00+00:00,2024-08-24 00:00:00+00:00,2025-08-31 00:00:00+00:00,Telia Finland Oyj,,
bwgv-akademie.de,,2019-12-06 18:08:36+01:00,,,,
2lcm.fr,2017-07-10 21:21:38+00:00,2024-08-31 22:11:56.249149+00:00,2025-07-10 21:21:38+00:00,OVH,support@ovh.net,https://ovh.net
unoh.edu,2000-08-04 00:00:00+00:00,,2025-07-31 00:00:00+00:00,,,
salaspils.lv,,2025-03-12 12:12:29.976626+00:00,,,,
poliform.it,1997-03-26 00:00:00+00:00,2024-04-07 00:51:15+00:00,2025-03-22 00:00:00+00:00,Neen S.p.a.,,
veganmagazin.de,,2018-09-07 12:26:36+02:00,,,,
alpenpost.at,,,,,,
lieber.net,1998-01-07 05:00:00+00:00,2024-11-08 22:38:47+00:00,2030-01-06 05:00:00+00:00,"Network Solutions, LLC",domain.operations@web.com,https://web.com
keycom.net,1997-03-15 05:00:00+00:00,2021-01-19 12:22:30+00:00,2026-03-16 04:00:00+00:00,"Network Solutions, LLC",domain.operations@web.com,https://web.com
ewers.ee,,,2026-02-03 00:00:00+00:00,Haridus- ja Teadusministeerium (EENet),,
parquesnacionales.gov.co,2001-09-14 00:00:00+00:00,2021-09-23 11:32:08+00:00,2026-09-16 23:59:59+00:00,.CO Internet S.A.S.,soporte@cointernet.com.co,https://cointernet.com.co
jobsuite.net,2012-01-26 21:39:35+00:00,2022-09-10 23:37:55+00:00,2027-01-26 21:39:35+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
kimbarthel.ca,2013-12-17 05:34:39+00:00,2023-04-03 23:33:16+00:00,2025-12-17 05:34:39+00:00,"Go Daddy Domains Canada, Inc",abuse@godaddy.com,https://godaddy.com
qcpgroup.com.au,,2024-03-04 03:16:02+00:00,,Web Address Registration Pty Ltd,,
lesbessous.fr,2017-03-07 12:18:50+00:00,2025-03-07 12:26:22.444118+00:00,2026-03-07 12:18:50+00:00,IONOS SE,hostmaster@1und1.de,https://1und1.de
cb-system.net,2007-02-05 23:27:11+00:00,2024-03-04 05:40:28+00:00,2026-01-03 06:38:27+01:00,"OVH, SAS",abuse@ovh.net,https://ovh.net
sevigne-db13.fr,2020-05-06 09:25:31+00:00,2024-02-03 15:03:07.681417+00:00,2025-05-06 09:25:31+00:00,OVH,support@ovh.net,https://ovh.net
isd741.org,2016-12-14 18:26:00.848000+00:00,2024-05-17 02:03:33.100614+00:00,2025-12-14 18:26:00.848000+00:00,Squarespace Domains II LLC,abuse-complaints@squarespace.com,https://squarespace.com
verkehrshaus.ch,,,,,,
mangerbiosudouest.fr,2012-03-20 13:27:40+00:00,2024-04-30 22:10:03.742107+00:00,2025-03-20 13:27:40+00:00,OVH,support@ovh.net,https://ovh.net
mvkmavericks.org,2000-01-12 15:42:13+00:00,2024-08-29 05:59:35+00:00,2026-01-12 15:42:13+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
cardosotoys.com.br,2017-08-04 00:00:00+00:00,2023-11-21 00:00:00+00:00,2028-08-04 00:00:00+00:00,,,
iav.de,,2024-04-17 14:55:21+02:00,,,,
icwm.co.za,2014-07-08 06:40:16+00:00,2025-01-31 12:14:13+00:00,2025-07-08 06:40:16+00:00,xneelo (Pty) Ltd,support@xneelo.com,https://xneelo.com
senado.gov.co,1998-07-16 00:00:00+00:00,2022-03-11 21:26:12+00:00,2025-12-31 23:59:59+00:00,.CO Internet S.A.S.,soporte@cointernet.com.co,https://cointernet.com.co
lakazdalerie.fr,2024-02-10 00:32:21.406823+00:00,2025-02-10 00:42:29.449262+00:00,2026-02-10 00:32:21.377094+00:00,IONOS SE,hostmaster@1und1.de,https://1und1.de
bupa.com.au,,2024-07-01 05:08:27+00:00,,Corporation Service Company (Aust) Pty Ltd,,
homingpigeon.org,2024-09-04 12:04:24.750000+00:00,2024-09-09 12:04:53+00:00,2025-09-04 12:04:24.750000+00:00,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com
dswd.gov.ph,,,,,,
dreamkids.com.br,2009-08-06 00:00:00+00:00,2022-08-22 00:00:00+00:00,2025-08-06 00:00:00+00:00,,,
adam-kommunikation.de,,2024-02-07 14:02:29+01:00,,,,
wolffengineering.com.mx,2021-04-23 00:00:00+00:00,2024-07-13 00:00:00+00:00,2025-04-23 00:00:00+00:00,GoDaddy.com,,
adam-com.de,,2018-07-25 09:11:32+02:00,,,,
parmax.fr,2022-04-06 13:18:50+00:00,2024-04-06 11:27:39.904533+00:00,2025-04-06 13:18:50+00:00,OVH,support@ovh.net,https://ovh.net
triplus.com.my,2000-06-15 16:00:00+00:00,2024-04-16 16:12:18.847000+00:00,2025-06-15 16:00:00+00:00,Yeahhost Sdn Bhd,domain@yeahhost.com.my,https://yeahhost.com.my
cuguen.org,2002-08-19 10:43:21+00:00,2024-10-03 10:43:40+00:00,2025-08-19 10:43:21+00:00,OVH sas,abuse@ovh.net,https://ovh.net
emtrain.com.au,,2022-02-03 09:16:04+00:00,,Web Address Registration Pty Ltd,,
firma.seznam.cz,1996-10-07 02:00:00+00:00,2025-02-12 14:18:24+00:00,2025-10-29 00:00:00+00:00,REG-CZNIC,,
schmotz-leyrer.de,,2017-10-17 20:56:42+02:00,,,,
unicli.ai,2023-10-19 23:42:08+00:00,,,1API GmbH,abuse@1api.net,https://1api.net
coquillade.fr,2006-12-05 14:44:59+00:00,2024-12-31 23:02:27.062695+00:00,2025-11-22 14:24:36+00:00,OVH,support@ovh.net,https://ovh.net
ihcass.cl,,,,NIC Chile,,
ejaf.pt,,,,,,
cima.us,2004-07-19 05:36:06+00:00,2024-07-24 14:35:43+00:00,2034-07-18 23:59:59+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
architekturbuero-steidl.de,,2007-11-09 10:13:09+01:00,,,,
wiseintelligence.co.uk,2022-02-10 00:00:00+00:00,2025-02-09 00:00:00+00:00,2026-02-10 00:00:00+00:00,Key-Systems GmbH [Tag = KEY-SYSTEMS-DE],,
wolfson.cc,2000-04-03 07:00:00+00:00,2025-03-05 07:25:06+00:00,2026-04-03 07:00:00+00:00,"ENOM, INC.",domainabuse@tucows.com,https://tucows.com
sindico.ch,,,,,,
victorchang.edu.au,,2024-06-14 00:55:18+00:00,,Education Services Australia Limited,,
linnamuuseum.ee,,,2026-10-14 00:00:00+00:00,Spin TEK AS,,
mail.bbiclark.com,2021-07-06 08:12:15+00:00,2022-12-11 09:42:40+00:00,2026-07-06 08:12:15+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
helenmiller.net,2007-06-01 22:57:10+00:00,2024-06-02 18:33:29+00:00,2027-06-01 22:57:10+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
414networks.net,2019-12-17 22:57:47+00:00,2024-12-12 23:16:02+00:00,2026-12-17 22:57:47+00:00,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com
fredericksfoundation.org,2000-11-15 07:54:54+00:00,2024-11-13 09:45:43+00:00,2025-11-15 07:54:54+00:00,Mesh Digital Limited,abuse.contact@hosteuropegroup.com,https://hosteuropegroup.com
together.xyz,2014-06-02 16:34:14+00:00,2025-01-15 21:31:33+00:00,2028-06-02 23:59:59+00:00,Squarespace Domains II LLC,abuse-complaints@squarespace.com,https://squarespace.com
vietts.io,2023-02-18 02:19:14+00:00,2025-01-30 08:50:35+00:00,2026-02-18 02:19:14+00:00,"Cloudflare, Inc",,
coloradoepic.org,2010-01-26 16:26:14+00:00,2025-01-27 18:30:59+00:00,2026-01-26 16:26:14+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
techniklotsen.de,,2016-10-20 11:32:24+02:00,,,,
