domain,date_registered,date_last_renewed,date_expires,registrar,registrar_url,organization_name
umeye.com,2011-12-27,2025-03-01,2025-12-27,"Alibaba Cloud Computing (Beijing) Co., Ltd.",https://service.aliyun.com,
unwieldyimpulse.com,2023-10-09,2025-02-03,2025-10-09,NAMECHEAP INC,https://namecheap.com,
edu.ph,,,,,,
urbis-guadeloupe.fr,2013-05-28,2024-11-20,2025-05-28,OVH,https://ovh.net,IIS Windows Server
urlovejourneys.com,2021-03-03,2025-02-06,2026-03-03,"GoDaddy.com, LLC",https://godaddy.com,Love Journeys
usapickleball.org,2018-05-18,2024-08-01,2025-05-18,"GoDaddy.com, LLC",https://godaddy.com,USA Pickleball
usdebtclock.org,2008-11-03,2024-11-05,2030-11-03,"GoDaddy.com, LLC",https://godaddy.com,Real Time
usgoldbureau.com,2005-07-18,2022-09-06,2027-07-18,"GoDaddy.com, LLC",https://godaddy.com,
validcodes.net,2023-07-04,2024-05-16,2025-07-04,"GoDaddy.com, LLC",https://godaddy.com,
valleycom.com,2001-12-29,2022-09-21,2026-04-27,"GoDaddy.com, LLC",https://godaddy.com,Valley Communications Association
virusfree.cz,,,,,,VirusFree
vistaprint.ca,2001-05-13,2024-04-11,2026-05-13,MarkMonitor International Canada Ltd.,https://markmonitor.com,VistaPrint Canada
voys.be,2007-08-24,,,,,Voys
vpn-content.net,2022-09-05,2024-10-06,2025-09-05,NAMECHEAP INC,https://namecheap.com,content.net
wacken.com,2000-04-12,2024-12-29,2025-04-12,InterNetX GmbH,https://internetx.com,Wacken Open Air
weatherforecastonline.app,2022-04-18,2024-07-08,2025-04-18,"GoDaddy.com, LLC",https://godaddy.com,WeatherForecastOnline
webaccel.jp,2016-03-18,,2025-03-31,,,
webqr.com,2011-06-25,2022-09-09,2026-06-25,"GoDaddy.com, LLC",https://godaddy.com,Web QR
weyesimg.com,2018-06-13,2024-05-14,2026-06-13,"Alibaba Cloud Computing (Beijing) Co., Ltd.",https://service.aliyun.com,
winloot.com,2003-05-03,2024-05-04,2025-05-03,"GoDaddy.com, LLC",https://godaddy.com,
winsafe-vpn.ru,2024-11-11,,2025-11-11,BEGET-RU,,
wjon.com,1997-05-20,2024-04-21,2025-05-21,NAMECHEAP INC,https://namecheap.com,AM 1240 WJON
womanandhome.com,1998-10-07,2024-09-19,2025-10-06,Lexsynergy Limited,https://lexsynergy.com,Woman & Home
wurvasajdtp.com,2024-01-28,2025-03-10,2025-01-28,DropCatch.com 911 LLC,https://namebright.com,
xorgasmo.com,2018-04-24,2024-01-26,2027-04-24,"Domain.com, LLC",https://domain-inc.net,XOrgasmo
yandex.co.il,,,2026-07-18,Safenames Ltd,https://yandex.net,Яндекс
yangzijiang.com,1997-12-31,2025-01-06,2030-07-29,"Alibaba Cloud Computing (Beijing) Co., Ltd.",https://service.aliyun.com,扬子江药业集团
yfp2p.net,2015-12-30,2024-12-29,2025-12-30,Xin Net Technology Corporation,https://xinnet.com,
youngvoice.nl,2018-12-19,2024-02-07,,Gandi,,Young Voice
youtube.co,2010-04-15,2025-01-28,2026-02-24,"MarkMonitor, Inc.",https://markmonitor.com,YouTube
z11bet-up.live,2022-04-14,2024-05-31,2025-04-14,NAMECHEAP INC,https://namecheap.com,
zambezimarketing.io,2022-09-06,2024-08-12,2025-09-06,"Cloudflare, Inc",,
aarc.org,1995-08-23,2024-07-28,2025-08-22,"Cloudflare, Inc.",https://cloudflare.com,AARC
adtarget.tech,2019-03-14,2025-03-03,2026-03-14,"Go Daddy, LLC",https://godaddy.com,
advancial.org,2001-03-16,2022-01-13,2027-03-16,"Network Solutions, LLC",https://web.com,Advancial Federal Credit Union
ail.com,1991-07-26,2024-05-26,2027-07-25,"Network Solutions, LLC",https://web.com,ail.com
aiqudo.com,2017-02-26,2022-10-28,2026-02-26,"GoDaddy.com, LLC",https://godaddy.com,
alefeducation.com,2016-01-31,2024-05-16,2027-01-31,"GoDaddy.com, LLC",https://godaddy.com,Alef Education
aliyunddos0004.com,2019-07-31,2024-07-24,2025-07-31,"Alibaba Cloud Computing (Beijing) Co., Ltd.",https://service.aliyun.com,
eitoinnovation.com,2023-03-09,2025-03-10,2027-03-09,"GoDaddy.com, LLC",https://godaddy.com,Eito Innovation â by AJ&Smart
xcine.ru,2022-09-11,,2025-09-11,RU-CENTER-RU,,Watch Movies Online Free
appjetty.com,2016-10-25,2023-10-10,2025-10-25,"GoDaddy.com, LLC",https://godaddy.com,AppJetty
ariessys.com,1994-04-22,2023-07-12,2026-04-23,"Network Solutions, LLC",https://web.com,Aries Systems Corporation
aspireglobal.com,2008-07-10,2024-07-02,2026-07-10,"GoDaddy.com, LLC",https://godaddy.com,Aristocrat Interactive
audiochannel.net,1999-08-03,2024-06-04,2025-08-03,"Network Solutions, LLC",https://web.com,
audiogon.com,1998-05-14,2023-03-14,2028-05-13,"Network Solutions, LLC",https://web.com,
automacon.net,2018-02-19,2025-03-03,2026-02-19,Registrar of Domain Names REG.RU LLC,https://reg.ru,
srvasinzen.com,2021-02-23,2023-02-01,2026-02-23,NAMECHEAP INC,https://namecheap.com,
backupops.com,2014-01-02,2023-12-06,2027-01-02,"Omnis Network, LLC",https://omnis.com,
baishancdnx.cn,2018-09-10,,2026-09-10,阿里云计算有限公司（万网）,https://baishancloud.com,
bangbrosnetwork.com,2002-12-19,2025-02-06,2028-12-19,"DNC Holdings, Inc",https://directnic.com,Bang Bros
bayescom.com,2015-01-13,2024-11-29,2027-01-13,Xin Net Technology Corporation,https://xinnet.com,倍业科技
bbsv2.net,2015-04-13,2025-03-10,2026-04-13,Gandi SAS,https://support.gandi.net,
bdfnet.com,1999-07-09,2025-02-21,2028-07-09,"Network Solutions, LLC",https://web.com,
bideo-chat.com,2023-09-12,2024-09-13,2025-09-12,Stichting Registrar of Last Resort Foundation,https://rolr.eu,
bioscientifica.com,1997-06-02,2024-04-15,2025-06-01,"Cloudflare, Inc.",https://cloudflare.com,Bioscientifica
blacked.com,1999-01-21,2024-10-03,2034-01-21,DYNADOT LLC,https://dynadot.com,BLACKED
blockchair.com,2016-01-23,2023-10-03,2029-01-23,NAMECHEAP INC,https://namecheap.com,Blockchair
blokas.io,2016-08-08,2024-06-10,2025-08-08,1API GmbH,,Blokas
bonial.global,2017-03-08,2025-02-07,2026-03-08,Gandi SAS,https://support.gandi.net,
brdata.com,1998-05-26,2021-03-27,2026-05-25,"Network Solutions, LLC",https://web.com,
bulkloads.com,2001-04-05,2024-03-27,2025-04-05,"GoDaddy.com, LLC",https://godaddy.com,
qeipeqjeiv.net,2023-10-03,2024-08-29,2025-10-03,"Amazon Registrar, Inc.",https://support.aws.com,
cagematch.net,2004-09-30,2024-09-29,2025-09-30,Mesh Digital Limited,https://domainbox.com,CAGEMATCH
caliper.com,1992-10-02,2023-06-24,2028-10-01,"GoDaddy.com, LLC",https://godaddy.com,Caliper
canliradyodinle.fm,2016-01-17,2024-11-18,2028-01-17,Namecheap,https://namecheap.com,Radyo Dinle
carikodepos.com,2015-03-23,2024-03-24,2025-03-23,Web Commerce Communications Limited dba WebNic.cc,https://webnic.cc,
carrefoursa.com,2013-05-12,2025-03-03,2030-05-12,"GoDaddy.com, LLC",https://godaddy.com,
cas.cz,1996-10-06,2024-12-11,2025-10-29,REG-INTERNET-CZ,,Akademie věd České republiky
witt.info,2001-08-17,2024-11-21,2025-08-17,Nameshield SAS,https://nameshield.net,
cenvandns.com,2013-12-27,2023-11-15,2026-12-27,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),https://service.aliyun.com,
chavesnamao.com.br,2012-03-26,2025-02-28,2030-03-26,,,Chaves na Mão
chefsavvy.com,2014-01-17,2022-09-15,2027-01-17,"GoDaddy.com, LLC",https://godaddy.com,Chef Savvy
cincyjungle.com,2006-02-27,2025-01-25,2026-02-27,"Amazon Registrar, Inc.",https://support.aws.com,Cincy Jungle
clothesmentor.com,1999-02-03,2024-12-19,2026-02-03,"GoDaddy.com, LLC",https://godaddy.com,Clothes Mentor
clustertruck.com,2006-08-29,2025-01-06,2025-08-29,"Domain.com, LLC",https://domain-inc.net,ClusterTruck
cocolog-nifty.com,2003-10-24,2024-10-24,2025-10-24,"Japan Registry Services Co.,Ltd.(JPRS)",https://jprs.jp,
codefresh.io,2014-08-21,2024-07-26,2025-08-21,Gandi SAS,,Codefresh
collecting.com,1995-05-04,2025-03-07,2026-05-05,https://www.101domain.com/,https://101domain.com,The Collecting Group
collincad.org,1999-02-12,2024-04-26,2028-02-12,Squarespace Domains II LLC,https://squarespace.com,
colorplusonline.com,1998-09-28,2024-09-28,2025-09-27,"TurnCommerce, Inc. DBA NameBright.com",https://namebright.com,
complaintsboard.com,2006-06-22,2020-05-26,2025-06-22,"ENOM, INC.",https://tucows.com,Complaints Board
conforama.ch,,,,,,
contabilidadautonomos.es,,,,,,Contabilidad Autonomos
contabilidadcolaborativa.com,2021-06-23,2023-09-06,2025-06-23,"CSC Corporate Domains, Inc.",https://cscglobal.com,
drops-files.com,2018-10-02,2024-08-28,2025-10-02,"Amazon Registrar, Inc.",https://support.aws.com,
copays.org,2003-09-15,2022-07-22,2027-09-15,"Network Solutions, LLC",https://web.com,
copyrightcontent.org,2021-01-12,2024-12-13,2026-01-12,"Amazon Registrar, Inc.",https://support.aws.com,
cotosen.com,2020-09-21,2025-02-23,2025-09-21,"NameSilo, LLC",https://namesilo.com,Cotosen
cs50.io,2011-09-07,2024-09-29,2025-09-07,Key-Systems GmbH,,Visual Studio Code for CS50
csp-reporting-service.com,2020-06-10,2024-12-19,2025-06-10,DYNADOT LLC,https://dynadot.com,
culturagenial.com,2017-07-01,2024-11-08,2033-07-01,NAMECHEAP INC,https://namecheap.com,Cultura Genial
cuwcd.com,1997-07-11,2024-12-02,2027-07-10,"Network Solutions, LLC",https://web.com,
cwg.tw,2015-03-02,,2026-03-05,HINET,,
cz88.net,2003-08-17,2024-12-13,2026-08-17,"Alibaba Cloud Computing (Beijing) Co., Ltd.",https://service.aliyun.com,
darva.com,1999-10-12,2023-10-04,2026-10-12,"TUCOWS, INC.",https://tucows.com,DARVA
datamaxorg.com,2013-06-07,2024-06-07,2034-06-07,"Network Solutions, LLC",https://web.com,
dataunion.com.br,2016-04-02,2025-02-12,2027-03-09,,,DataCrm
dayinhist.com,2023-06-05,2024-05-06,2025-06-05,NAMECHEAP INC,https://namecheap.com,
delen.digital,2024-08-03,2025-03-11,2025-08-03,Domain Science Kutatasi Szolgaltato,https://namerider.com,
digitalliteracyassessment.org,2011-08-16,2024-06-25,2025-08-16,"GoDaddy.com, LLC",https://godaddy.com,Northstar Digital Literacy
docker.ru,2005-12-11,,2025-12-11,REGTIME-RU,,
domain53hosting.com,2019-05-09,2024-05-05,2025-05-09,"CSC Corporate Domains, Inc.",https://cscglobal.com,
dsparkingportal.com,2020-12-03,2024-11-18,2025-12-03,"Network Solutions, LLC",https://web.com,
dt-it.nl,2011-10-23,2020-10-30,,Registrar.eu,,Damen IT Groep
dubzenom.com,2023-09-05,2024-08-06,2025-09-05,URL SOLUTIONS INC.,https://pananames.com,
dustin.eu,,,,Ascio Technologies Inc.,,
dynastynerds.com,2014-02-05,2025-02-06,2026-02-05,"GoDaddy.com, LLC",https://godaddy.com,Dynasty Nerds
e2n.de,,2024-04-10,,,,
ecfwds.com,2020-06-18,2024-05-19,2025-06-18,NAMECHEAP INC,https://namecheap.com,Ecfwds
edgegap.net,2018-08-22,2025-02-24,2026-08-22,"NameSilo, LLC",https://namesilo.com,Edgegap
efarda.ir,,,,,,
emgsound.ru,2016-02-03,,2026-02-03,REGRU-RU,,
emsend1.com,2011-08-31,2024-07-30,2025-08-31,"MarkMonitor, Inc.",https://markmonitor.com,
energuate.com,2012-03-30,2025-01-28,2030-03-30,"Wild West Domains, LLC",https://wildwestdomains.com,
enterprisetms.com,2014-06-26,2023-12-21,2025-06-26,Key-Systems GmbH,https://key-systems.net,C.H. Robinson
epsilonrms.com,2013-04-16,2024-04-12,2025-04-16,"CSC Corporate Domains, Inc.",https://cscglobal.com,
everymundo.com,2006-09-30,2022-09-15,2025-09-30,"GoDaddy.com, LLC",https://godaddy.com,Offer Marketing
examinebiosimilars.com,2017-03-24,2023-04-01,2025-03-24,Safenames Ltd,https://safenames.net,
eyescribes.com,2013-12-07,2025-02-26,2026-12-07,"MarkMonitor, Inc.",https://markmonitor.com,
fantasypoints.com,2000-03-06,2025-01-07,2026-03-06,"GoDaddy.com, LLC",https://godaddy.com,Fantasy Points
fasteasy.io,2021-02-17,2025-01-19,2026-02-17,Gandi SAS,,Intermittent Fasting
fbm.com,1993-12-07,2021-10-09,2026-12-06,"Network Solutions, LLC",https://web.com,
finishdishwashing.com,2007-12-20,2025-01-29,2026-12-20,"MarkMonitor, Inc.",https://markmonitor.com,Finish®
fireant.work,2023-08-30,2024-08-28,2027-08-30,P.A. Viet Nam Company Limited,https://pavietnam.vn,
fleetcouriers.net,2010-02-09,2025-02-10,2026-02-09,"GoDaddy.com, LLC",https://godaddy.com,
flipdesk.jp,2014-02-26,,2026-02-28,,,株式会社マテリアルデジタル
fnvip100.com,2023-03-13,2024-03-14,2025-03-13,"GoDaddy.com, LLC",https://godaddy.com,
foodgawker.com,2008-06-13,2024-12-31,2025-06-13,"GoDaddy.com, LLC",https://godaddy.com,Foodgawker
footshop.com,2000-02-23,2025-01-17,2026-02-23,"Ascio Technologies, Inc",https://ascio.com,Footshop
freertos.org,2003-04-30,2024-04-06,2025-04-30,"TUCOWS, INC.",https://tucows.com,FreeRTOSâ¢
frewostallrk.com,2022-04-24,2024-04-12,2025-04-24,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),https://service.aliyun.com,frewostallrk
fundednext.com,2019-04-17,2024-03-18,2026-04-17,"GoDaddy.com, LLC",https://godaddy.com,
gaming001.site,2019-09-22,2024-10-08,2025-09-22,URL Solutions Inc.,https://pananames.com,Coming Soon
gecpublicidad.com,2017-07-14,2024-07-02,2025-07-14,"Wild West Domains, LLC",https://wildwestdomains.com,
gennet.us,2004-04-21,2024-03-23,2029-04-20,"GoDaddy.com, LLC",https://godaddy.com,GenNET Online Portal
geodis.org,2004-06-17,2024-12-12,2025-06-17,SafeBrands SAS,https://safebrands.com,
gethelphss.com,2017-06-20,2024-05-16,2025-06-20,"Amazon Registrar, Inc.",https://support.aws.com,Frontline Asset HelpDesk Management
getziptastic.com,2013-10-30,2024-10-31,2025-10-30,"TUCOWS, INC.",https://tucows.com,Ziptastic!
giraffepiano.com,2018-02-27,2025-02-06,2026-02-27,NAMECHEAP INC,https://namecheap.com,
glacistech.com,2019-09-25,2024-09-26,2025-09-25,"GoDaddy.com, LLC",https://godaddy.com,GlacisTech
glasoperator.nl,2009-09-10,2022-06-13,,team.blue nl B.V.,,
globallink.com,1997-03-16,2025-02-13,2026-03-17,"MarkMonitor, Inc.",https://markmonitor.com,
globalresearch.ca,2001-05-28,2021-06-05,2031-05-28,easyDNS Technologies Inc.,https://easydns.com,Global Research
gooutdoorssouthcarolina.com,2015-01-24,2025-01-25,2027-01-24,"GoDaddy.com, LLC",https://godaddy.com,Go Outdoors South Carolina
govplanet.com,2007-04-13,2025-01-13,2025-04-13,"ENOM, INC.",https://tucows.com,GovPlanet
gratefulness.me,2017-10-19,2024-06-19,2027-10-19,"GoDaddy.com, LLC",,being
greenmatters.com,1999-09-27,2024-09-26,2025-09-27,"TUCOWS, INC.",https://tucows.com,Green Matters
grlcontent.com,2020-04-24,2024-04-25,2026-04-24,"GoDaddy.com, LLC",https://godaddy.com,
grouple.co,2017-04-15,2025-01-01,2026-04-14,Porkbun,https://porkbun.com,
gsaauctions.gov,2000-04-27,2024-01-08,2025-09-30,get.gov,https://gsa.gov,Personal Property Management System
gtnexus.com,2001-02-21,2024-06-28,2028-02-21,Key-Systems GmbH,https://key-systems.net,
gtt.fr,2000-08-07,2024-12-15,2025-12-12,NAMESHIELD,https://nameshield.net,
hammerson.com,1999-09-09,2024-09-07,2025-09-09,NOM-IQ Ltd dba Com Laude,https://comlaude.com,Hammerson
hamro-files.com,2017-06-29,2024-05-27,2025-06-29,"Amazon Registrar, Inc.",https://support.aws.com,
harmanpro.com,1997-11-12,2024-11-07,2025-11-11,"CSC Corporate Domains, Inc.",https://cscglobal.com,
hdpornvideo.xxx,2013-03-13,2025-01-31,2030-03-13,Danesco Trading Ltd.,https://danesconames.com,"HD Porn Video, Free Xxx Videos Tube, HQ Sex Movies Download"
headpongset.net,2023-02-27,2025-01-29,2026-02-27,"TUCOWS, INC.",https://tucows.com,
helmconnect.com,2013-10-10,2024-10-11,2025-10-10,"GoDaddy.com, LLC",https://godaddy.com,
hershey-sweetmail.com,2017-02-15,2025-02-01,2026-02-15,Squarespace Domains II LLC,https://squarespace.com,
hitv.io,2021-11-25,2025-01-09,2025-11-25,"GoDaddy.com, LLC",,
hotdocsadvance.com,2017-03-31,2023-04-01,2025-03-31,"GoDaddy.com, LLC",https://godaddy.com,HotDocs
hphc.org,1995-08-08,2025-01-18,2035-01-10,"Cloudflare, Inc.",https://cloudflare.com,
i2ipophealth.com,2016-02-09,2024-01-14,2026-02-09,"Name.com, Inc.",https://name.com,i2i Population Health
ibercaja.es,,,,,,
immersed.com,1997-03-28,2024-10-01,2034-03-29,"Amazon Registrar, Inc.",https://support.aws.com,Immersed
indojavstream.com,2021-07-29,2024-07-22,2025-07-29,NAMECHEAP INC,https://namecheap.com,
instillerhq.com,2013-02-05,2025-01-01,2026-02-05,"Amazon Registrar, Inc.",https://support.aws.com,Instiller
ip-141-95-98.eu,,,,OVH SAS,,
itninja.com,2000-02-02,2025-02-03,2026-02-02,Safenames Ltd,https://safenames.net,ITNinja
jacobin.com,2001-04-05,2022-10-17,2027-04-05,"GoDaddy.com, LLC",https://godaddy.com,Jacobin
jhhc.com,1997-02-10,2024-12-18,2026-02-11,"Network Solutions, LLC",https://web.com,Johns Hopkins Medicine
jivetel.net,2016-10-19,2024-07-02,2025-10-19,DYNADOT LLC,https://dynadot.com,
justbrands.nl,2006-01-23,2021-04-05,,team.blue nl B.V.,,Just Brands
justis.nl,2006-01-27,2021-10-01,,Rijksoverheid,,Justis
kajabi-mail.net,2021-03-15,2024-03-16,2025-03-15,1API GmbH,https://1api.net,
kananterus.com,2020-04-21,2024-04-15,2025-04-21,NAMECHEAP INC,https://namecheap.com,kananterus.com
keephub.io,2020-08-13,2024-09-27,2025-08-13,Key-Systems GmbH,,desk medewerkers
kingmodapk.net,2021-10-02,2025-03-05,2026-10-02,"Name.com, Inc.",https://name.com,KINGMODAPK.NET
klack.de,,2022-08-18,,,,klack.de
landstar.com,1995-06-01,2024-09-12,2029-05-31,"CSC Corporate Domains, Inc.",https://cscglobal.com,Landstar
lavanetwork.net,2012-01-12,2024-12-04,2026-01-12,P.A. Viet Nam Company Limited,https://pavietnam.vn,
lawa.org,1998-03-17,2024-12-12,2028-03-16,"Network Solutions, LLC",https://web.com,Official Site
lg-chatbot.com,2017-09-11,2024-08-22,2025-09-11,Whois Corp.,https://whois.co.kr,
limetorrents.info,2015-03-01,2025-02-04,2026-03-01,NAMECHEAP INC,https://namecheap.com,LimeTorrents
linkmessenger.me,2022-11-04,2024-10-26,2025-11-04,Key-Systems GmbH,,Link Messenger
lislecorp.com,1998-04-27,2021-06-11,2029-04-26,"Network Solutions, LLC",https://web.com,Lisle Corporation
localnewsbreak.com,2023-05-19,2024-04-14,2025-05-19,"Amazon Registrar, Inc.",https://support.aws.com,
login.gs,2010-11-18,2024-11-03,2025-11-18,Corporation Service Company,https://internationaladmin.com,
losangelesapparel.net,2016-04-22,2024-04-23,2025-04-22,"GoDaddy.com, LLC",https://godaddy.com,Los Angeles Apparel
masterspro.app,2021-01-11,2024-11-26,2029-01-11,Key-Systems LLC,https://key-systems.net,Masters Pro
matchpoint365.com,2018-04-13,2024-03-24,2025-04-13,1API GmbH,https://1api.net,
medallies.com,2001-04-27,2024-02-27,2027-04-27,"Network Solutions, LLC",https://web.com,
miacademy.co,2015-08-26,2024-09-07,2025-08-25,NAMECHEAP INC,https://namecheap.com,
mittum.com,2010-05-21,2024-04-08,2025-05-21,"Arsys Internet, S.L. dba NICLINE.COM",https://nicline.com,Mittum
mkt3798.com,2010-09-13,2024-08-12,2025-09-13,"MarkMonitor, Inc.",https://markmonitor.com,
mobilecause.com,2006-07-27,2024-08-02,2026-07-27,"MarkMonitor, Inc.",https://markmonitor.com,GiveSmart
mountainmikespizza.com,2003-11-18,2022-11-19,2027-11-18,"GoDaddy.com, LLC",https://godaddy.com,Mountain Mike's Pizza
movesmarter.nl,2012-09-25,2021-10-13,,Previder B.V.,,
mpwdigital.com,2015-05-19,2024-05-20,2025-05-19,"GoDaddy.com, LLC",https://godaddy.com,MPW
mrmoneymustache.com,2011-03-10,2025-01-24,2026-03-10,FastDomain Inc.,https://web.com,Mr. Money Mustache
museumhack.com,2013-06-21,2021-02-05,2028-06-21,"Cloudflare, Inc.",https://cloudflare.com,Museum Hack
mx-hub.sk,2006-12-07,2024-12-05,2025-12-07,"Webglobe, a.s.",https://webglobe.sk,
naimaudio.com,2002-05-08,2024-05-04,2025-05-08,"CSC Corporate Domains, Inc.",https://cscglobal.com,Naim Audio
nate-games.xyz,2023-09-23,2024-11-25,2025-09-23,"Go Daddy, LLC",https://godaddy.com,
navisite.com,1997-04-18,2024-03-18,2025-04-19,"MarkMonitor, Inc.",https://markmonitor.com,Navisite
nordot.jp,2015-02-25,,2026-02-28,,,
nvroads.com,1998-12-11,2024-10-26,2026-12-10,"GoDaddy.com, LLC",https://godaddy.com,Nevada 511
omniglot.com,2000-02-12,2023-07-04,2033-02-12,"Register.com, Inc.",https://web.com,Omniglot
onflow.org,2006-10-31,2024-12-15,2025-10-31,Gandi SAS,https://support.gandi.net,Flow.com
oraclegovcloud.uk,2019-06-11,2024-08-14,2025-06-11,Markmonitor Inc. [Tag = MARKMONITOR],,
pawsetrack.vet,2018-04-23,2024-06-28,2027-04-23,"GoDaddy.com, LLC",https://godaddy.com,Clinic
paykickstart.com,2014-11-05,2025-02-17,2025-11-05,"GoDaddy.com, LLC",https://godaddy.com,PayKickstart
ph365.de,,2020-09-13,,,,
photocdn.stream,2023-01-06,2024-12-13,2026-01-06,NAMECHEAP INC,https://namecheap.com,
picffzy.com,2023-09-24,2024-01-21,2025-09-24,"GoDaddy.com, LLC",https://godaddy.com,
pickleballbrackets.com,2015-06-02,2024-07-01,2034-06-02,"GoDaddy.com, LLC",https://godaddy.com,PickleballTournaments.com
picsjoin.com,2016-11-17,2024-11-19,2027-11-17,"Alibaba Cloud Computing (Beijing) Co., Ltd.",https://service.aliyun.com,
polk.com,1996-08-28,2024-08-23,2025-08-27,"CSC Corporate Domains, Inc.",https://cscglobal.com,
powerbuy.co.th,,,,THNIC,https://thnic.co.th,
powr.com,1997-09-12,2024-08-07,2025-09-11,"Amazon Registrar, Inc.",https://support.aws.com,ViewNexa
premtech.com,1996-02-21,2025-01-20,2026-02-22,Namespro Solutions Inc.,https://namespro.ca,
profinance.ru,2002-07-22,,2025-07-22,RU-CENTER-RU,,
projectplace-local.com,2014-09-01,2024-12-20,2025-09-01,Abion AB,https://abion.com,
qdubo.com,2020-10-25,2024-10-01,2025-10-25,"Name.com, Inc.",https://name.com,
quesid.com,2021-10-19,2022-10-20,2026-10-19,"NameCheap, Inc.",https://namecheap.com,
react-hook-form.com,2019-05-27,2024-02-25,2025-05-27,"GoDaddy.com, LLC",https://godaddy.com,React Hook Form
reasonlabsapi.com,2022-11-15,2024-11-16,2025-11-15,"GoDaddy.com, LLC",https://godaddy.com,
respexam.com,2001-02-23,2022-11-25,2028-02-23,"TUCOWS, INC.",https://tucows.com,3M Online Medical Respirator Evaluation
rfc-csc.com,2016-05-12,2025-01-21,2025-05-12,Key-Systems GmbH,https://key-systems.net,
risenet.eu,,,,Corporation Service Company,,
roanoke.com,1996-08-05,2024-10-17,2025-08-04,"TUCOWS, INC.",https://tucows.com,Roanoke Times
s4insight.com,2013-02-24,2025-02-24,2027-02-24,"GoDaddy.com, LLC",https://godaddy.com,
safetytalkideas.com,2016-06-19,2024-06-05,2026-06-19,NAMECHEAP INC,https://namecheap.com,Safety Talk Ideas
salutesolutions.us,2020-08-24,2024-08-28,2025-08-24,Tucows Domains Inc.,https://tucows.com,Domain default page
santassecret.co,2022-10-25,2024-10-31,2025-10-25,"GoDaddy.com, LLC",https://godaddy.com,Santaâs Secret
santost12.xyz,2025-01-10,2025-02-08,2026-01-10,"GMO Internet, Inc.",https://gmo.jp,
scholarships360.org,2011-01-24,2025-03-10,2026-01-24,"GoDaddy.com, LLC",https://godaddy.com,Scholarships360
scptpx.com,2023-05-05,2024-05-06,2025-05-05,"GoDaddy.com, LLC",https://godaddy.com,
screener.in,2009-11-06,2024-09-16,2025-11-06,"Porkbun, LLC",https://porkbun.com,Screener
securitytrails.com,2017-06-21,2024-06-22,2025-06-21,"GoDaddy.com, LLC",https://godaddy.com,
