Unnamed: 0,domain,registration_date,last_updated,expiration_date,registrar_name,registrar_email,registrar_url,Unnamed: 0.1
,photoshopessentials.com,2006-08-28,2023-07-29,2028-08-28,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,pianshen.com,2011-06-27,2023-09-11,2026-06-27,Porkbun LLC,abuse@porkbun.com,https://porkbun.com,
,pics4learning.com,1999-10-14,2022-08-15,2027-10-14,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,pigglywiggly.com,1995-10-18,2024-12-23,2025-12-31,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,piguiqproxy.com,2016-06-27,2024-06-28,2025-06-27,"Internet Invest, Ltd. dba Imena.ua",abuse@imena.ua,https://imena.ua,
,pinnula.ca,2020-09-07,2024-07-24,2025-09-07,WHC Online Solutions Inc.,abuse@whc.ca,https://whc.ca,
,pioneerminisplit.com,2011-05-08,2024-05-09,2026-05-08,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,pivot-table.com,2008-08-18,2023-07-27,2025-08-18,"ENOM, INC.",domainabuse@tucows.com,https://tucows.com,
,pknic.pk,2006-06-21,,2050-01-01,,,,
,rememberingny.us,2010-08-26,2024-08-21,2025-08-25,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com,
,platinmods.com,2017-03-22,2024-03-06,2033-03-22,"NameCheap, Inc.",abuse@namecheap.com,https://namecheap.com,
,platinumrecruits.co.uk,2009-01-19,2024-06-23,2026-01-19,123-Reg Limited t/a 123-reg [Tag = 123-REG],,,
,play-netball.co.uk,2014-10-23,2024-09-23,2026-10-23,Fasthosts Internet Ltd [Tag = LIVEDOMAINS],,,
,plopswerve.uno,,,,,,,
,pltsci.com,2016-06-13,2023-08-07,2026-06-13,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,poghaurs.com,2023-07-04,2024-06-04,2025-07-04,URL SOLUTIONS INC.,abuse@pananames.com,https://pananames.com,
,polymail.io,2015-09-09,2024-09-12,2025-09-09,NAMECHEAP INC,,,
,popscom.online,2023-05-15,2024-11-15,2025-05-15,NAMECHEAP INC,,,
,porn-star.com,1997-07-28,2025-02-25,2026-07-27,"NameSilo, LLC",abuse@namesilo.com,https://namesilo.com,
,porndotcom.org,2015-03-28,2024-03-07,2025-03-28,Danesco Trading Ltd.,abuse@danesconames.com,https://danesconames.com,
,pornoente.tv,2017-03-23,2023-02-28,2026-03-23,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,tiptop4k.tv,2020-08-20,2024-03-02,2025-08-20,"NameCheap, Inc.",abuse@namecheap.com,https://namecheap.com,
,prismrisk.gov,2020-08-27,2024-01-08,2025-08-27,get.gov,tpelster@prismrisk.gov,https://prismrisk.gov,
,privacystar.com,2004-09-24,2024-09-25,2025-09-24,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,prlvid.com,2020-04-24,2025-02-10,2026-04-24,Danesco Trading Ltd.,abuse@danesconames.com,https://danesconames.com,
,processchecker.com,2011-07-30,2024-05-23,2026-07-30,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,producebluebook.com,2009-02-05,2021-12-07,2027-02-05,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,progression.hu,,,,,,,
,projects.co.id,2011-05-01,2023-03-07,2027-05-04,PT Cyberindo Aditama,,,
,pronovabkk.de,,2022-07-06,,,,,
,provpn.world,2019-04-11,2025-03-08,2026-04-11,Gandi SAS,abuse@support.gandi.net,https://support.gandi.net,
,psacsports.org,2001-07-23,2024-09-06,2025-07-23,"Wild West Domains, LLC",domainops@godaddy.com,https://godaddy.com,
,pthoki.net,2023-05-29,2024-04-29,2025-05-29,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,ptrecord.com,2022-06-04,2024-05-12,2025-06-04,"Cloudflare, Inc.",registrar-abuse@cloudflare.com,https://cloudflare.com,
,pulsar360.com,2012-11-14,2024-11-15,2025-11-14,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,puma-safety.com,2005-09-14,2024-08-19,2025-09-14,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com,
,pusheenbox.com,2015-07-31,2022-09-19,2025-07-31,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,pushnews.eu,,,,"GoDaddy.com, LLC",,,
,pvoc-anaina.com,2014-09-26,2024-08-26,2025-09-26,"MarkMonitor, Inc.",abusecomplaints@markmonitor.com,https://markmonitor.com,
,pwrcnvrt.com,2020-03-06,2025-01-31,2026-03-06,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,
,px.media,2018-07-09,2025-01-31,2025-07-09,InterNetX GmbH,domain-abuse@internetx.com,https://internetx.com,
,qbix.com,2003-06-02,2024-06-03,2025-06-02,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,qcs.co.uk,2003-09-15,2024-09-02,2025-09-15,Team Blue Internet Services UK Limited [Tag = NAMESCO],,,
,qfmonitoring.com,2019-05-31,2024-04-26,2025-05-31,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,
,quantummetal.com,2012-07-10,2024-05-27,2025-07-10,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com,
,quantumroasters.co.uk,2016-10-13,2024-06-28,2025-10-13,"GoDaddy.com, LLC. [Tag = GODADDY]",,,
,quizard.ai,2023-01-18,,,Porkbun LLC,abuse@porkbun.com,https://porkbun.com,
,quizofkings.com,2016-03-17,2025-02-04,2027-03-17,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com,
,quote.ru,1998-06-15,,2025-06-30,RU-CENTER-RU,,,
,quoteddata.com,2013-10-11,2024-10-12,2025-10-11,IONOS SE,abuse@ionos.com,https://ionos.com,
,quotenmeter.de,,2016-11-10,,,,,
,quoti.cloud,2021-06-15,2024-07-30,2025-06-15,Squarespace Domains II LLC,sdl2-registrar@squarespace.com,https://squarespace.com,
,qushad.com,2020-03-11,2024-03-10,2025-03-11,"IHS Telekom, Inc.",abuse@ihs.com.tr,https://ihs.com.tr,
,radel-bluschke.de,,2021-04-15,,,,,
,rapala.com,1996-01-27,2025-01-24,2026-01-28,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com,
,rappi.cl,,,,,,,
,rascalandfriends.com,2015-04-21,2024-07-16,2026-04-21,"Register.com, Inc.",domain.operations@web.com,https://web.com,
,rastrac.net,1999-04-15,2024-02-15,2029-04-15,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,rb-elektroshop.de,,2020-07-16,,,,,
,readcereal.com,2012-06-24,2023-09-19,2025-06-24,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,readingsanctuary.com,2014-06-17,2024-06-18,2025-06-17,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,readnovelfull.com,2018-08-17,2024-08-18,2025-08-17,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,readytotrip.com,2013-08-21,2024-12-29,2026-08-21,Registrar of Domain Names REG.RU LLC,abuse@reg.ru,https://reg.ru,
,realauroradesign.com,2025-02-22,2025-02-24,2026-02-22,Gname 236 Inc,ZYS@GNAME.COM,https://GNAME.COM,
,rebelgive.com,2017-09-29,2024-09-28,2025-09-29,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com,
,recapitalusa.com,2016-03-30,2024-07-15,2025-03-30,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,recordit.co,2014-01-16,2024-05-06,2026-01-15,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,
,red-educa.com,2015-06-01,2024-05-28,2025-06-01,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,redbeardsailing.com,2015-08-24,2024-08-11,2025-08-24,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com,
,redskins.com,1996-07-29,2024-08-02,2026-07-28,"MarkMonitor, Inc.",abusecomplaints@markmonitor.com,https://markmonitor.com,
,redzac.at,,,,,,,
,reevevessels.website,,,,,,,
,rein.com,1995-05-09,2023-01-28,2028-05-10,GoDaddy Online Services Cayman Islands Ltd.,abuse@uniregistry.com,https://uniregistry.com,
,reisjunk.nl,2014-02-03,2023-12-28,,Registrar.eu,,,
,rentpathservices.com,2016-01-05,2025-01-07,2026-01-05,"MarkMonitor, Inc.",abusecomplaints@markmonitor.com,https://markmonitor.com,
,repaircafe.org,2011-11-22,2025-01-16,2025-11-22,Key-Systems GmbH,abuse@key-systems.net,https://key-systems.net,
,republicanpost.net,2019-10-19,2020-11-25,2026-10-19,"NameCheap, Inc.",abuse@namecheap.com,https://namecheap.com,
,researchresults.com,1996-11-20,2023-10-06,2032-11-19,"ENOM, INC.",domainabuse@tucows.com,https://tucows.com,
,restroomcalf.com,2022-11-11,2024-10-13,2025-11-11,"ENOM, INC.",domainabuse@tucows.com,https://tucows.com,
,resvent.com,2016-03-03,2024-11-28,2027-03-03,"Alibaba Cloud Computing (Beijing) Co., Ltd.",DomainAbuse@service.aliyun.com,https://service.aliyun.com,
,retromanufacturing.com,2015-02-20,2022-09-18,2025-07-31,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,rgbk.com,1997-11-19,2024-11-14,2025-11-18,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com,
,rhb.ch,,,,,,,
,rileycountyks.gov,2003-10-20,2024-01-08,2025-09-28,get.gov,,,
,rimondo.com,2010-11-18,2024-11-18,2026-11-18,"COREhub, S.R.L.",abuse@corehub.net,https://corehub.net,
,ringier.hu,,,,,,,
,rko7m.top,,,,,,,
,rlive.co.il,,,2027-01-04,LiveDNS Ltd,2noamh@gmail.com,https://gmail.com,
,rmahq.org,1997-06-02,2025-03-06,2028-06-01,"TUCOWS, INC.",rmahq.org@contactprivacy.com,https://contactprivacy.com,
,rockvilleaudio.com,2010-09-03,2022-09-08,2026-09-03,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,rooferca.com,2024-11-12,2025-02-25,2025-11-12,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),DomainAbuse@service.aliyun.com,https://service.aliyun.com,
,royalshockey.com,2000-10-30,2024-10-31,2025-10-30,"Wild West Domains, LLC",abuse@wildwestdomains.com,https://wildwestdomains.com,
,rpmtesla.com,2014-11-24,2024-11-12,2025-11-24,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com,
,rpyeyivxjg.net,2023-10-03,2024-08-29,2025-10-03,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,
,rsl-helper.de,,2024-10-25,,,,,
,runrocknroll.com,2009-03-04,2025-02-28,2026-03-04,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com,
,s-paycial.com,2013-01-23,2025-01-21,2026-01-23,"Japan Registry Services Co.,Ltd.(JPRS)",gtld-abuse@jprs.jp,https://jprs.jp,
,s-ryhma.fi,2003-09-01,2019-05-21,2027-09-01,Domainkeskus Oy,,,
,s7s.ai,2020-12-03,,,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,saje.com,1996-07-22,2022-09-22,2025-07-21,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,salapalatului.ro,2007-05-31,,2034-07-16,ICI - Registrar,,,
,salcotitypsel.com,2023-05-23,2024-11-03,2025-05-23,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,samsungyosemite.com,,,,,,,
,san.org,1996-04-19,2024-04-25,2034-04-20,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,sapios.com.br,2017-07-27,2023-07-25,2026-07-27,,,,
,satngkrc.com,2022-09-07,2024-08-13,2025-09-07,Dynadot Inc,abuse@dynadot.com,https://dynadot.com,
,sbcusd.com,2002-09-26,2024-05-18,2026-09-26,Squarespace Domains II LLC,abuse-complaints@squarespace.com,https://squarespace.com,
,sbfinance.com.ph,,,,,,,
,scanguard.com,2004-01-05,2024-08-05,2026-01-05,"ENOM, INC.",domainabuse@tucows.com,https://tucows.com,
,sciencelessonsthatrock.com,2018-01-01,2025-02-27,2027-01-01,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,sciencesource.com,1995-09-19,2024-07-20,2029-09-18,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,scijournal.org,2014-01-08,2024-12-29,2026-01-08,Squarespace Domains II LLC,abuse-complaints@squarespace.com,https://squarespace.com,
,sdha.top,,,,,,,
,secrethostess.com,2020-06-27,2023-02-27,2032-06-27,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,silk0palm.com,2021-05-20,2024-04-15,2025-05-20,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,
,seddons.co.uk,1996-08-01,2024-09-09,2028-10-10,Heart Internet Limited t/a Heart Internet [Tag = HEARTINTERNET],,,
,seguras.de,,2021-05-18,,,,,
,seibertron.com,2000-09-22,2022-09-03,2026-09-22,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,senditsociety.com,2018-03-12,2023-01-11,2028-03-12,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,sensorydirect.com,2007-05-20,2024-05-21,2025-05-20,IONOS SE,abuse@ionos.com,https://ionos.com,
,sergiopiernas.com,,,,,,,
,serviceminder.io,2015-04-23,2024-07-09,2025-04-23,"GoDaddy.com, LLC",,,
,sexpin.net,2017-05-11,2024-03-22,2025-05-11,Dynadot Inc,abuse@dynadot.com,https://dynadot.com,
,sffirecu.org,1997-03-25,2025-03-01,2026-03-26,"Cloudflare, Inc.",registrar-abuse@cloudflare.com,https://cloudflare.com,
,sgshero.com,2014-09-04,2024-08-16,2025-09-04,"Alibaba Cloud Computing (Beijing) Co., Ltd.",DomainAbuse@service.aliyun.com,https://service.aliyun.com,
,sharemypc.it,2012-10-19,2024-11-04,2025-10-19,1 Api GmbH,,,
,shilla.net,1996-10-16,2024-06-13,2025-10-15,"Gabia, Inc.",abuse@gabia.com,https://gabia.com,
,shockdoctor.com,1998-09-26,2020-07-29,2025-09-25,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,shomareh1.com,2020-05-03,2024-06-22,2025-05-03,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com,
,shopdap.com,2012-07-05,2022-09-17,2025-07-05,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,shopwarriorcats.com,2018-06-20,2024-06-21,2025-06-20,123-Reg Limited,abuse@123-reg.co.uk,https://123-reg.co.uk,
,shortcat.app,2018-05-08,2024-06-22,2025-05-08,1API GmbH,abuse@1api.net,https://1api.net,
,showboxmovies.net,2019-07-30,2024-06-30,2025-07-30,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com,
,showdebolaisso.com.br,2023-02-08,2025-02-24,2025-02-08,,,,
,shsyqgp.xyz,2021-06-07,2024-11-13,2025-06-07,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,siam.org,1991-08-27,2025-03-07,2025-08-26,"TUCOWS, INC.",siam.org@contactprivacy.com,https://contactprivacy.com,
,sicqpdor.ru,2023-04-07,,2025-04-07,RU-CENTER-RU,,,
,silkandsonder.com,2017-06-05,2024-06-27,2025-06-05,Squarespace Domains II LLC,abuse-complaints@squarespace.com,https://squarespace.com,
,simplymeatsmoking.com,2016-09-28,2023-08-01,2025-09-28,Synergy Wholesale Accreditations Pty Ltd,registry-abuse@nexigen.digital,https://nexigen.digital,
,sitedart.net,2009-06-01,2024-02-15,2029-06-01,"ENOM, INC.",domainabuse@tucows.com,https://tucows.com,
,sk.kz,,,,HOSTER.KZ,IT@sk.kz,https://sk.kz,
,skellies-space.com,,,,,,,
,skipser.com,2011-01-25,2022-09-08,2027-01-25,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,sklik.cz,2004-05-29,2025-02-12,2025-05-29,REG-CZNIC,,,
,skynetcloud.tk,,,,,,,
,slp-intranet.co.uk,2021-12-13,2024-11-13,2025-12-13,Lexsynergy Ltd [Tag = LEXSYNERGY],,,
,slso.org,1997-11-21,2024-10-15,2029-11-20,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,smart-pixels.org,2021-10-05,2024-08-11,2025-10-05,"eNom, LLC",,,
,smartshanghai.com,2003-09-17,2024-07-22,2025-09-17,CSL Computer Service Langenbach GmbH d/b/a joker.com,abuse@joker.com,https://joker.com,
,smatechnologies.com,2010-01-02,2024-01-01,2025-12-31,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,snapsave.io,2021-12-24,2024-12-07,2026-12-24,"Name.com, Inc.",,,
,snoredestroy.com,2023-08-29,2024-09-24,2025-08-29,"HOSTINGER operations, UAB",abuse-tracker@hostinger.com,https://hostinger.com,
,sofn.com,1996-03-27,2023-02-27,2026-03-28,"Register.com, Inc.",domain.operations@web.com,https://web.com,
,sohomofo.com,2008-03-23,2024-03-24,2025-03-23,IONOS SE,abuse@ionos.com,https://ionos.com,
,soinc.org,1999-09-01,2024-08-31,2033-09-01,NameSecure L.L.C.,domain.operations@web.com,https://web.com,
,solidifi.com,2004-10-19,2022-09-11,2025-10-19,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,sonc.org,1996-02-26,2024-08-22,2026-08-22,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,sosapproachtofeeding.com,2019-07-27,2024-11-29,2028-07-27,"Domain.com, LLC",compliance@domain-inc.net,https://domain-inc.net,
,southerncharmwreaths.com,2009-01-12,2025-01-12,2028-01-12,"Wild West Domains, LLC",abuse@wildwestdomains.com,https://wildwestdomains.com,
,spanishmama.com,2013-11-26,2025-03-07,2025-11-26,Launchpad.com Inc.,abuse@hostgator.com,https://hostgator.com,
,sparxreader.com,2020-03-24,2025-03-04,2026-03-24,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com,
,spl.it,2003-09-01,2025-03-05,2025-03-04,Tuonome Registrar S.r.l.,,,
,srch7317.cloud,,,,,,,
,srch9157.cloud,,,,,,,
,staffvetting.com,2005-03-07,2025-01-31,2026-03-07,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,
,stalwartcrafts.com,2017-11-11,2025-01-17,2025-11-11,Key-Systems GmbH,abuse@key-systems.net,https://key-systems.net,
,standard-democrat.com,1997-10-10,2024-08-10,2025-10-09,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,standrews.com,1995-07-30,2024-05-15,2026-07-29,Easyspace Ltd.,abuse@easyspace.com,https://easyspace.com,
,stargel.com,1999-10-05,2021-08-06,2026-10-05,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,starhubgo.com,2014-10-17,2024-10-13,2025-10-17,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com,
,starlightcinemas.com,2004-04-19,2024-04-02,2026-04-19,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,ri.us,2002-04-18,2024-06-02,2025-04-17,US Locality,,,
,statisgeek.com,2018-03-06,2024-08-23,2034-03-06,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,statlas.io,2021-03-01,2025-01-31,2026-03-01,Gandi SAS,,,
,statskingdom.com,2017-11-02,2024-05-30,2029-11-02,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,stattrek.com,2004-06-21,2023-07-19,2029-06-21,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,stevesilver.com,2003-12-07,2024-12-09,2025-12-08,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
